strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/SouthAfrica/KRISP-K014786/2021	EPI_ISL_2086238		National Health Laboratory Service, South Africa	KRISP, KZN Research Innovation and Sequencing Platform	Giandhari J et al
hCoV-19/SouthAfrica/NHLS-UCT-GS-B551/2021	EPI_ISL_2140721		Hillside Clinic wc BFW	NHLS/UCT	Arash Iranzadeh et al
hCoV-19/SouthAfrica/NHLS-UCT-GP-6275/2021	EPI_ISL_2375921		Concordia Clinic	NHLS/UCT	Arash Iranzadeh et al
hCoV-19/Somalia/NAMRU3_Mog_54/2021	EPI_ISL_2858682		Naval Medical Research Unit No. 3	Naval Medical Research Center Biological Defense Research Directorate	Catherine E. Arnold et al
hCoV-19/Burundi/UG521/2021	EPI_ISL_2928005		National Institute of Public Health, Bujumbura,Burundi, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, National Institute of Public Health	Jerome Nkurunziza et al
hCoV-19/Burundi/UG556/2021	EPI_ISL_2928010		National Institute of Public Health, Bujumbura,Burundi, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, National Institute of Public Health	Jerome Nkurunziza et al
hCoV-19/SouthAfrica/NICD-N5388/2021	EPI_ISL_2273010		CHRIS HANI BARAGWANATH LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG et al
hCoV-19/SouthAfrica/NICD-N7034/2021	EPI_ISL_2662641		CHRIS HANI BARAGWANATH LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG et al
hCoV-19/SouthAfrica/NHLS-UCT-GS-B448/2021	EPI_ISL_2140695		Victoria Hospital wc VHW	NHLS/UCT	Arash Iranzadeh et al
hCoV-19/Botswana/R17B50_BHP_000473252/2021	EPI_ISL_2504112		Palapye Primary Hospital Laboratory	Botswana Harvard HIV Reference Laboratory	Sikhulile Moyo et al
hCoV-19/Botswana/R18B22_BHP_AAB60599/2021	EPI_ISL_2648209		Debswana Orapa Mine Hospital Laboratory	Botswana Harvard HIV Reference Laboratory	Sikhulile Moyo et al
hCoV-19/Australia/NSW4473/2021	EPI_ISL_1633347		Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster et al
hCoV-19/Bangladesh/CHRF-0265_Pr/2021	EPI_ISL_2178970		Praava Health	Child Health Research Foundation	CHRF Bangladesh Genomics Team et al
hCoV-19/Bangladesh/JUST-GC283-055_W8/2021	EPI_ISL_2348660		Genome Center	Genome Center	A. S. M. Rubayet Ul Alam et al
hCoV-19/Bangladesh/CHRF-0481/2021	EPI_ISL_3341987		Praava Health	Child Health Research Foundation	CHRF Bangladesh Genomics Team et al
hCoV-19/Bangladesh/JUST-GC279-066_W6/2021	EPI_ISL_2350142		Genome Center	Genome Center	A. S. M. Rubayet Ul Alam et al
hCoV-19/Tunisia/36107/2021	EPI_ISL_2896981		Laboratory of Microbiology, National Reference Lab, Charles Nicolle Hospital; 2-University of Tunis ElManar, Faculty of Medicine of Tunis, LR99ES09, Tunis, Tunisia	1-Clinical and Experimental Pharmacology Lab, LR16SP02, National Center of Pharmacovigilance, University of Tunis El Manar, Tunis, Tunisia. 2-Neurodegenerative diseases and psychiatric troubles, LR18SP03, Razi Hospital, University of Tunis El Manar, Tunis, Tunisia. 3- Ministry of Health, National Observatory of New and Emerging Diseases, 1006, Tunis, Tunisia	Sameh Trabelsi et al
hCoV-19/Canada/NB-NML-49157/2021	EPI_ISL_2550598		NB-Hôpital Georges L. Dumont	National Microbiology Laboratory (NML)	Anna Majer et al
hCoV-19/Madagascar/IPM-02259/2021	EPI_ISL_1660289		Virology Unit, Institut Pasteur de Madagascar	Virology Unit, Institut Pasteur de Madagascar	Christian Ranaivoson et al
hCoV-19/Madagascar/IPM-01791/2021	EPI_ISL_1660268		Virology Unit, Institut Pasteur de Madagascar	Virology Unit, Institut Pasteur de Madagascar	Christian Ranaivoson et al
hCoV-19/Madagascar/IPM-01919/2021	EPI_ISL_1660274		Virology Unit, Institut Pasteur de Madagascar	Virology Unit, Institut Pasteur de Madagascar	Christian Ranaivoson et al
hCoV-19/Reunion/PIMIT_10619/2021	EPI_ISL_3154002		REUNILAB	UMR PIMIT	Dr David A Wilkinson et al
hCoV-19/France/PAC-IHU-5102-N1/2021	EPI_ISL_2036332		MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al
hCoV-19/Reunion/PIMIT_12932/2021	EPI_ISL_3154222		REUNILAB	UMR PIMIT	Dr David A Wilkinson et al
hCoV-19/Tunisia/202129459/2021	EPI_ISL_2154331	MZ227558.1	Laboratory of Microbiology, National Reference Lab, Charles Nicolle Hospital; 2-University of Tunis ElManar, Faculty of Medicine of Tunis, LR99ES09, Tunis, Tunisia	Clinical and Experimental Pharmacology Lab, LR16SP02, National Center of Pharmacovigilance, University of Tunis El Manar, Tunis, Tunisia. 2-Neurodegenerative diseases and psychiatric troubles, LR18SP03, Razi Hospital, University of Tunis El Manar, Tunis, Tunisia. 3- Ministry of Health, National Observatory of New and Emerging Diseases, 1006, Tunis, Tunisia	Sameh Trabelsi et al
hCoV-19/Morocco/refstage1/2020	EPI_ISL_476559			Laboratoire Sciences et Technologies de la Santé (STS) Institut Supérieur des Sciences de la Santé Université Hassan 1er, Settat, Morocco	Hajar Lemriss et al
hCoV-19/Brazil/SP-01/2020	EPI_ISL_412964		Hospital Israelita Albert Einstein	Instituto Adolfo Lutz Interdisciplinary Procedures Center Strategic Laboratory	Jaqueline Goes de Jesus et al (https://virological.org/t/first-cases-of-coronavirus-disease-covid-19-in-brazil-south-america-2-genomes-3rd-march-2020/409)
hCoV-19/Panama/GMI-PA437002/2020	EPI_ISL_1225527		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
hCoV-19/NewZealand/20VR1959/2020	EPI_ISL_579178	MZ332101.1	Southern Community Labs Dunedin	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Kenya/MOH-K-LAB-PM-749/2020	EPI_ISL_2779525		LAB-BMC	USAMRD-A, Basic Science Laboratory	Gathii Kimita et al
hCoV-19/Uruguay/UY-NYUMC875/2020	EPI_ISL_457971		Laboratorio de Biología Molecular Asociación Española Primera en Salud	Departments of Pathology and Medicine, New York University School of Medicine	Maria Victoria Elizondo et al
hCoV-19/Qatar/QA-WCMQ_FD15617957/2020	EPI_ISL_1714113		Ministry of Public Health / Hamad Medical Corporation	Weill Cornell Medical College - Qatar (WCM-Q), Genomics Core Laboratory / Qatar Genome Project (QGP)	WCMQ: Ayeda A. Ahmed et al
hCoV-19/Ukraine/203100350/2020	EPI_ISL_512629		National Laboratory for Influenza/Virology reference laboratory, Public Health Center of the Ministry of Health of Ukraine	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	PHE Covid Sequencing Team et al
hCoV-19/Guatemala/GUA-LNS-48174/2020	EPI_ISL_2826979		Laboratorio Nacional de Salud	Laboratorio Nacional de Salud	Linda Mendoza et al
hCoV-19/Australia/NT28/2020	EPI_ISL_430631		Royal Darwin Hospital Pathology	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, The Peter Doherty Institute for Infection and Immunity	Meumann et al
hCoV-19/CostaRica/CRV-0023/2020	EPI_ISL_480327		Hospital Nacional de Niños	Charité Virology-University of Costa Rica	Andres Moreira-Soto et al
hCoV-19/NewZealand/20VR0933/2020	EPI_ISL_456171	MZ331893.1	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Matt Storey et al B
hCoV-19/Kenya/C25310/2020	EPI_ISL_806675	MW751394.1	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi	Githinji et al
hCoV-19/Rwanda/NRLNAT4039/2021	EPI_ISL_2362526		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Germany/BE-ChVir-W1303-8106/2020	EPI_ISL_753952		Charité Universitätsmedizin Berlin, Institut für Virologie/Labor Berlin	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/Uganda/UG016/2020	EPI_ISL_451198		Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Dan Lule Bugembe et al (https://dx.doi.org/10.3201/eid2610.202575)
hCoV-19/CostaRica/CRV-0017/2020	EPI_ISL_480321		Laboratorio Clínico San José	Charité Virology-University of Costa Rica	Andres Moreira-Soto et al
hCoV-19/Kenya/C713/2020	EPI_ISL_457920	MW751154.1	KEMRI-CGMR-C	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi	Githinji G. et al 2020 et al (https://virological.org/t/introduction-and-local-transmission-of-sars-cov-2-cases-in-kenya/497)
hCoV-19/Slovenia/LabVir-4952/2020	EPI_ISL_960304		NLZOH, Laboratory for Virology	NLZOH, Laboratory for Virology	Katarina Prosenc (Laboratory for Virology) et al
hCoV-19/Australia/NSW358/2020	EPI_ISL_451619		Pathology West - NSW Health Pathology	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
hCoV-19/Djibouti/CNSS00388-IHU1031243469/2020	EPI_ISL_2820621		Laboratoire de Diagnostic, Centre de Soins 1, Caisse Nationale de Sécurité Sociale (CNSS) de Djibouti.	IHU Méditerranée Infection.	Ikram Omar Osman et al
hCoV-19/Australia/ACT0074/2020	EPI_ISL_498534		ACT Pathology	Schwessinger Lab	Ashley Jones et al
hCoV-19/Australia/SA0212/2020	EPI_ISL_467989		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/USA/MT-UMGC-00253/2020	EPI_ISL_3333795		University of Montana Genomics Core (UMGC)	University of Montana Genomics Core (UMGC)	William Conner et al
hCoV-19/Turkey/HSGM-B18312/2021	EPI_ISL_2987749		Ministry of Health Turkey	Ministry of Health Turkey	Fatma Bayrakdar et al
hCoV-19/Botswana/R8B66_BHP_AAA25937/2020	EPI_ISL_1516877		Botswana Harvard HIV Reference Laboratory	Botswana Harvard HIV Reference Laboratory	Sikhulile Dorcas Maruapula et al
hCoV-19/Norway/2441/2020	EPI_ISL_2612246		Dept. of Medical Microbiology, Stavanger University Hospital, Helse Stavanger HF	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
hCoV-19/NewZealand/20VR1805/2020	EPI_ISL_456260	MZ331996.1	Waikato Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey et al B
hCoV-19/Australia/NT17/2020	EPI_ISL_426904	MT641661.1	Royal Darwin Hospital Pathology	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute	Meumann et al
hCoV-19/Honduras/324506/2021	EPI_ISL_2648246		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Mitzi Castro et al
hCoV-19/Honduras/325808/2021	EPI_ISL_2648250		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Mitzi Castro et al
hCoV-19/Honduras/38845/2021	EPI_ISL_2650537		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Nelly Amador et al
hCoV-19/Honduras/327951/2021	EPI_ISL_2648256		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Mitzi Castro et al
hCoV-19/Honduras/5413/2021	EPI_ISL_2650535		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Elda Martínez et al
hCoV-19/Mexico/CHP-InDRE_FB14859_S2597/2021	EPI_ISL_2492489		LESP Chiapas	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Honduras/316254/2021	EPI_ISL_2650523		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Mitzi Castro et al
hCoV-19/Honduras/5748/2021	EPI_ISL_2648259		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Elda Martínez et al
hCoV-19/Honduras/336319/2021	EPI_ISL_2650534		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Mitzi Castro et al
hCoV-19/Honduras/325577/2021	EPI_ISL_2648247		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Mitzi Castro et al
hCoV-19/Honduras/327783/2021	EPI_ISL_2650532		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Mitzi Castro et al
hCoV-19/Honduras/318106/2021	EPI_ISL_2648243		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Mitzi Castro et al
hCoV-19/Mexico/SON-InDRE_FB17817_S3461/2021	EPI_ISL_2800937		LESP Sonora	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/SouthKorea/KDCA4439/2021	EPI_ISL_2361162		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park et al
hCoV-19/RepublicoftheCongo/RC-056/2021	EPI_ISL_2978226		Laboratoire National de Santé Publique, Brazzaville, République du Congo	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/Cameroon/ICGEB-CIRCB_26438/2021	EPI_ISL_2504142		Chantal Biya International Reference Centre (CIRCB)	International Centre for Genetic Engineering and Biotechnology (ICGEB) and ARGO Open Lab for Genome Sequencing	Joseph Fokam et al
hCoV-19/RepublicoftheCongo/RC-030/2021	EPI_ISL_2978211		Laboratoire National de Santé Publique, Brazzaville, République du Congo	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/RepublicoftheCongo/RC-055/2021	EPI_ISL_2978225		Laboratoire National de Santé Publique, Brazzaville, République du Congo	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/Congo/FCRM-37-A5.01.07/2021	EPI_ISL_3040125		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al
hCoV-19/Congo/FCRM-51-A33-01-07/2021	EPI_ISL_3040137		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al
hCoV-19/RepublicoftheCongo/RC-100/2021	EPI_ISL_2978236		Laboratoire National de Santé Publique, Brazzaville, République du Congo	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/Congo/FCRM-48-A21-05-07/2021	EPI_ISL_3040135		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al
hCoV-19/Congo/FCRM-10-B14-23-06/2021	EPI_ISL_2889839		Fondation Congolaise pour la recherche medicale (FCRM)	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al
hCoV-19/Gabon/CERMEL-DD0149/2021	EPI_ISL_2434979		Centre de Recherches Médicales de Lambaréné (CERMEL)	Centre de Recherches Médicales de Lambaréné (CERMEL)	Gédéon Prince Manouana et al
hCoV-19/Gabon/CERMEL-DD0336/2021	EPI_ISL_2442363		Centre de Recherches Médicales de Lambaréné (CERMEL)	Centre de Recherches Médicales de Lambaréné (CERMEL)	Gédéon Prince Manouana et al
hCoV-19/CentralAfricanRepublic/301/2021	EPI_ISL_2365416		WWF Bayanga field laboratory	WWF Bayanga field laboratory	S. Calvignac-Spencer et al
hCoV-19/CentralAfricanRepublic/326/2021	EPI_ISL_2365417		WWF Bayanga field laboratory	WWF Bayanga field laboratory	S. Calvignac-Spencer et al
hCoV-19/Australia/QLD1085/2020	EPI_ISL_593604		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
hCoV-19/Italy/VEN-UniVR-40/2020	EPI_ISL_751352		IRCCS Sacro Cuore Don Calabria Hospital, Department of Infectious, Tropical Diseases & Microbiology	University of Verona, Department of Biotechnology	Antonio Mori et al
hCoV-19/SaudiArabia/KAUST-RIYADH1243/2020	EPI_ISL_678214		Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Muhammad Shuaib et al
hCoV-19/SaudiArabia/KAUST-MADINAH1669/2020	EPI_ISL_751225		Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Raushan Nugmanova et al
hCoV-19/Lebanon/LAU4-53460/2020	EPI_ISL_637113		Rafik Hariri University Hospital	Microbial Pathogenomics Lab	Georgi Merhi et al
hCoV-19/Australia/SA0609/2021	EPI_ISL_812358		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Belize/BZ-CML-TCMC-BZ007-0920/2020	EPI_ISL_1822764		Central Medical Laboratory	Texas Children's Microbiome Center	Ruth Ann Luna et al
hCoV-19/Belize/BZ-CML-TCMC-BZ022-1220/2020	EPI_ISL_1822751		Central Medical Laboratory	Texas Children's Microbiome Center	Ruth Ann Luna et al
hCoV-19/Guatemala/GUA-LNS-49688/2020	EPI_ISL_2827848		Laboratorio Nacional de Salud	Laboratorio Nacional de Salud	Linda Mendoza et al
hCoV-19/Malaysia/0581/2020	EPI_ISL_2769387		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al
hCoV-19/Singapore/71_2/2021	EPI_ISL_891252		Singapore General Hospital	Department of Microbiology	Nurdyana Abdul Rahman et al
hCoV-19/Malaysia/IMR_WC106795/2021	EPI_ISL_1406277		Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Suppiah J et al
hCoV-19/Malaysia/9777/2021	EPI_ISL_2769407		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al
hCoV-19/Mexico/GRO-InDRE_384/2020	EPI_ISL_1054991		Instituto de Diagnostico y Referencia Epidemiologicos INDRE_RNLSP	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/TAM-UANL-003/2020	EPI_ISL_1091264		Laboratorio PGM	Laboratorio de Infectología Molecular, Departamento de Bioquímica y Medicina Molecular,Facultad de Medicina - Universidad Autónoma de Nuevo León	Kame A. Galán-Huerta et al
hCoV-19/Cyprus/Cy040989/2020	EPI_ISL_1164631		Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Jan Richter et al
hCoV-19/Hungary/MH-13211/2020	EPI_ISL_526225		Hungarian Defence Forces Military Medical Centre	National Laboratory of Virology, Szentágothai Research Centre	Endre Gábor Tóth et al
hCoV-19/USA/VA-DCLS-1560/2020	EPI_ISL_610124	MW208013.1	Virginia DCLS	Virginia DCLS	Virginia DCLS et al
hCoV-19/Mexico/MEX-InDRE-IBT-124/2020	EPI_ISL_1301494		Instituto de Diagnostico y Referencia Epidemiologicos InDRE_RNLSP	Instituto de Biotecnología de la UNAM	Authors from IBT et al
hCoV-19/USA/AZ-TG795461/2020	EPI_ISL_1530659		Sonora Quest Laboratories	TGen North	Jolene Bowers et al
hCoV-19/USA/CA-CZB-3717/2020	EPI_ISL_548434	MW134182.1	County of Santa Clara Public Health Department	Chan-Zuckerberg Biohub	CZB Cliahub Consortium et al
hCoV-19/USA/TX-HMH-MCoV-14723/2020	EPI_ISL_786208		Houston Methodist Hospital	Houston Methodist Hospital	S. Wesley Long et al
hCoV-19/Mexico/JAL-IBT_IMSS_1857/2021	EPI_ISL_2801728		Centro de Investigación Biomédica de Occidente (CIBO)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/USA/HI-H200154/2020	EPI_ISL_752717		State Laboratories Division, Hawaii State Department of Health	State Laboratories Division, Hawaii State Department of Health	Pamela O'Brien et al
hCoV-19/USA/RI-Broad_RIDOH-00419/2021	EPI_ISL_1253996	MW750168.1	Rhode Island Department of Health	Infectious Disease Program, Broad Institute of Harvard and MIT	Lemieux et al
hCoV-19/NorthernMarianaIslands/CDC-2-3831110/2020	EPI_ISL_1169486		Commonwealth Healthcare Center	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
hCoV-19/Canada/NL-NML-5790/2020	EPI_ISL_1055440		Dr. Leonard A. Miller Centre for Health Services	National Microbiology Laboratory (NML)	Anna Majer et al
hCoV-19/Mexico/BCN-ALSR-3618/2020	EPI_ISL_636113		Sharp HealthCare Laboratory	Andersen lab at Scripps Research	SEARCH Alliance San Diego with Aaron Harding et al
hCoV-19/USA/OR-OHSU-1071/2020	EPI_ISL_525963		OHSU Lab Services Molecular Microbiology Lab	Oregon SARS-CoV-2 Genome Sequencing Center	Brendan L. O'Connell et al
hCoV-19/Australia/SA0500/2020	EPI_ISL_602581		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/USA/DE-CDC-2-3713963/2020	EPI_ISL_751602	MW495891.1	DE Public Health Laboratory	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
hCoV-19/Mexico/CHP-InDRE_264/2020	EPI_ISL_1054962		Instituto de Diagnostico y Referencia Epidemiologicos INDRE_RNLSP	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/USA/MT-UMGC-00185/2020	EPI_ISL_3333729		University of Montana Genomics Core (UMGC)	University of Montana Genomics Core (UMGC)	William Conner et al
hCoV-19/SouthAfrica/NHLS-UCT-GS-0028/2020	EPI_ISL_640029		D'Almeida Clinic wc DAL	NHLS/UCT	Arash Iranzadeh et al
hCoV-19/Mexico/SON-InDRE_135/2020	EPI_ISL_913938		Instituto de Diagnostico y Referencia Epidemiologicos INDRE_RNLSP	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Curacao/CW-RIVM-10366/2020	EPI_ISL_636521		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-21710/2020	EPI_ISL_1014572		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-21731/2020	EPI_ISL_1014552		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/USA/SD-UMGC_65/2020	EPI_ISL_1017022		South Dakota Public Health Laboratory	University of Minnesota Genomics Center	Daryl M. Gohl et al
hCoV-19/USA/AR-CDC-2-3693691/2020	EPI_ISL_747067	MW406519.1	Respiratory Viruses Branch, Centers for Disease Control and Prevention	Respiratory Viruses Branch, Centers for Disease Control and Prevention	Queen et al
hCoV-19/USA/AK-PHL2587/2020	EPI_ISL_1483588	MZ246451.1	Alaska State Virology Laboratory	Alaska State Virology Laboratory	Stephanie DeRonde et al
hCoV-19/Australia/SA0146/2020	EPI_ISL_451144		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/NewZealand/20CV0598/2020	EPI_ISL_682279		Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Rwanda/NRLNAT1072/2020	EPI_ISL_925903		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Cameroon/CAM069/2021	EPI_ISL_1972323		Laboratoire National de Santé Publique du Cameroun	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/SouthKorea/KDCA4826/2021	EPI_ISL_2754322		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al
hCoV-19/SouthKorea/KDCA7217/2021	EPI_ISL_3369000		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park et al
hCoV-19/Gambia/33057/2021	EPI_ISL_2958631		MRCG at LSHTM Genomics lab	MRCG at LSHTM Genomics lab	Abdul Karim sesay et al
hCoV-19/Cameroon/ICGEB-CIRCB_26193/2021	EPI_ISL_2504141		Chantal Biya International Reference Centre (CIRCB)	International Centre for Genetic Engineering and Biotechnology (ICGEB) and ARGO Open Lab for Genome Sequencing	Joseph Fokam et al
hCoV-19/Gambia/33059/2021	EPI_ISL_2958632		MRCG at LSHTM Genomics lab	MRCG at LSHTM Genomics lab	Abdul Karim sesay et al
hCoV-19/Tunisia/SP-0362/2021	EPI_ISL_2035947		Pasteur Institute - Laboratory of Clinical Virology	Pasteur Institute - Laboratory of Clinical Virology	Wasfi Fares et al
hCoV-19/Niger/IPP10313/2021	EPI_ISL_2188485		Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/Turkey/HSGM-12918/2021	EPI_ISL_1922110		Ministry of Health Turkey	Ministry of Health Turkey	Fatma Bayrakdar et al
hCoV-19/Ghana/WACCBIP-GS852/2021	EPI_ISL_2836909		WACCBIP, University of Ghana, Accra, Ghana	WACCBIP, University of Ghana, Volta Road, Legon-Accra, Ghana	Collins M. Morang'a et al
hCoV-19/SouthSudan/UG580/2021	EPI_ISL_2928027		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/Niger/IPP10314/2021	EPI_ISL_2188486		Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/Nigeria/NCDC-FCT-10T/2021	EPI_ISL_2432953		Demy Health	National Reference Laboratory, Nigeria Centre for Disease Control	Dr Ndodo Nnaemeka et al
